ensembl_gene_id,entrezgene,hgnc_symbol,gene_biotype,wikigene_description
ENSG00000280870,101928469,MIR325HG,lincRNA,MIR325 host gene
ENSG00000117614,25949,SYF2,protein_coding,SYF2 pre-mRNA splicing factor
ENSG00000250073,101929340,,antisense,uncharacterized LOC101929340
ENSG00000065150,3843,IPO5,protein_coding,importin 5
ENSG00000279450,NA,,TEC,
ENSG00000198555,NA,,unprocessed_pseudogene,
ENSG00000273716,NA,,processed_pseudogene,
ENSG00000277498,NA,,unprocessed_pseudogene,
ENSG00000204221,9277,WDR46,protein_coding,WD repeat domain 46
ENSG00000204221,9277,WDR46,protein_coding,microRNA 6873
ENSG00000204221,102466754,WDR46,protein_coding,WD repeat domain 46
ENSG00000204221,102466754,WDR46,protein_coding,microRNA 6873
ENSG00000240034,NA,MTND6P6,unprocessed_pseudogene,
ENSG00000261976,NA,,antisense,
ENSG00000226329,NA,,unprocessed_pseudogene,
ENSG00000178896,54512,EXOSC4,protein_coding,exosome component 4
ENSG00000178896,54512,EXOSC4,protein_coding,microRNA 6847
ENSG00000178896,102465510,EXOSC4,protein_coding,exosome component 4
ENSG00000178896,102465510,EXOSC4,protein_coding,microRNA 6847
ENSG00000229876,101929244,CASC20,lincRNA,cancer susceptibility candidate 20 (non-protein coding)
ENSG00000258748,NA,,antisense,
ENSG00000125755,8189,SYMPK,protein_coding,symplekin
ENSG00000248655,NA,NOP56P1,processed_pseudogene,
ENSG00000282160,NA,,lincRNA,
ENSG00000223855,441307,,lincRNA,heart tissue-associated transcript 92
ENSG00000276531,NA,,unprocessed_pseudogene,
ENSG00000275427,286083,,lincRNA,uncharacterized LOC286083
ENSG00000182057,388906,OGFRP1,lincRNA,opioid growth factor receptor pseudogene 1
ENSG00000255921,NA,,antisense,
ENSG00000250535,NA,STK19B,unprocessed_pseudogene,
ENSG00000248690,NA,HAS2-AS1,antisense,
ENSG00000280195,NA,,antisense,
ENSG00000274143,57292,KIR2DL5A,protein_coding,killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A
ENSG00000164985,11168,PSIP1,protein_coding,PC4 and SFRS1 interacting protein 1
ENSG00000250576,NA,,lincRNA,
ENSG00000274692,3802,KIR2DL1,protein_coding,killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
ENSG00000263331,NA,,antisense,
ENSG00000255224,NA,,antisense,
ENSG00000072694,2213,FCGR2B,protein_coding,Fc fragment of IgG receptor IIb
ENSG00000204805,NA,FAM27E4,processed_pseudogene,
ENSG00000102384,2491,CENPI,protein_coding,centromere protein I
ENSG00000274696,115653,KIR3DL3,protein_coding,killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3
ENSG00000270874,NA,,processed_pseudogene,
ENSG00000261357,NA,,lincRNA,
ENSG00000230634,NA,,processed_pseudogene,
ENSG00000230035,NA,,antisense,
ENSG00000260509,NA,,lincRNA,
ENSG00000220370,NA,,processed_pseudogene,
ENSG00000175344,1139,CHRNA7,protein_coding,cholinergic receptor nicotinic alpha 7 subunit
ENSG00000175344,1139,CHRNA7,protein_coding,CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion
ENSG00000175344,1139,CHRNA7,protein_coding,CHRNA7-FAM7A fusion protein
ENSG00000175344,89832,CHRNA7,protein_coding,cholinergic receptor nicotinic alpha 7 subunit
ENSG00000175344,89832,CHRNA7,protein_coding,CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion
ENSG00000175344,89832,CHRNA7,protein_coding,CHRNA7-FAM7A fusion protein
ENSG00000175344,101929970,CHRNA7,protein_coding,cholinergic receptor nicotinic alpha 7 subunit
ENSG00000175344,101929970,CHRNA7,protein_coding,CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion
ENSG00000175344,101929970,CHRNA7,protein_coding,CHRNA7-FAM7A fusion protein
ENSG00000170152,NA,,processed_pseudogene,
ENSG00000279403,NA,,TEC,
ENSG00000189045,728780,ANKDD1B,protein_coding,ankyrin repeat and death domain containing 1B
ENSG00000274758,NA,,antisense,
ENSG00000143162,8804,CREG1,protein_coding,cellular repressor of E1A stimulated genes 1
ENSG00000248912,NA,,lincRNA,
ENSG00000212163,692207,SNORD91A,snoRNA,small nucleolar RNA, C/D box 91A
ENSG00000282759,NA,,lincRNA,
ENSG00000283518,NA,,lincRNA,
ENSG00000270937,NA,,lincRNA,
ENSG00000001561,22875,ENPP4,protein_coding,ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)
ENSG00000276194,6928,HNF1B,protein_coding,HNF1 homeobox B
ENSG00000169871,81844,TRIM56,protein_coding,tripartite motif containing 56
ENSG00000075275,9620,CELSR1,protein_coding,cadherin EGF LAG seven-pass G-type receptor 1
ENSG00000214878,NA,RPL5P31,processed_pseudogene,
ENSG00000153721,154043,CNKSR3,protein_coding,CNKSR family member 3
ENSG00000258721,NA,OR11H3P,unprocessed_pseudogene,
ENSG00000122870,80114,BICC1,protein_coding,BicC family RNA binding protein 1
ENSG00000281961,NA,,lincRNA,
ENSG00000176170,8877,SPHK1,protein_coding,sphingosine kinase 1
ENSG00000109911,26610,ELP4,protein_coding,elongator acetyltransferase complex subunit 4
ENSG00000112511,5252,PHF1,protein_coding,PHD finger protein 1
ENSG00000257178,406902,MIR10A,sense_intronic,microRNA 10a
ENSG00000167747,84798,C19orf48,protein_coding,chromosome 19 open reading frame 48
ENSG00000274811,81037,CLPTM1L,protein_coding,CLPTM1-like
ENSG00000236487,NA,,processed_pseudogene,
ENSG00000113303,79908,BTNL8,protein_coding,butyrophilin like 8
ENSG00000238238,401250,MCCD1,protein_coding,mitochondrial coiled-coil domain 1
ENSG00000275156,9437,NCR1,protein_coding,natural cytotoxicity triggering receptor 1
ENSG00000283317,NA,,lincRNA,
ENSG00000183513,493753,COA5,protein_coding,cytochrome c oxidase assembly factor 5
ENSG00000283696,NA,,lincRNA,
ENSG00000115041,30818,KCNIP3,protein_coding,potassium voltage-gated channel interacting protein 3
ENSG00000281883,NA,,protein_coding,
ENSG00000170234,114825,PWWP2A,protein_coding,PWWP domain containing 2A
ENSG00000279462,NA,,TEC,
ENSG00000242339,NA,,lincRNA,
ENSG00000268030,NA,,antisense,
ENSG00000281761,NA,,lincRNA,
ENSG00000260727,NA,SLC7A5P1,unprocessed_pseudogene,
ENSG00000253348,NA,,antisense,
ENSG00000282692,NA,,lincRNA,
ENSG00000260514,NA,,processed_pseudogene,
ENSG00000011638,57146,TMEM159,protein_coding,transmembrane protein 159
ENSG00000234796,NA,,antisense,
ENSG00000229618,NA,,lincRNA,
ENSG00000265121,NA,,lincRNA,
ENSG00000261249,101929288,,lincRNA,uncharacterized LOC101929288
ENSG00000249887,NA,,processed_pseudogene,
ENSG00000235235,NA,IGKV1OR2-1,IG_V_pseudogene,
ENSG00000229017,NA,LINC01277,lincRNA,
ENSG00000225026,NA,,processed_pseudogene,
ENSG00000234164,NA,HLA-DRB9,unprocessed_pseudogene,
ENSG00000259209,NA,,antisense,
ENSG00000135074,8728,ADAM19,protein_coding,ADAM metallopeptidase domain 19
ENSG00000259768,NA,,antisense,
ENSG00000250565,90423,ATP6V1E2,protein_coding,ATPase H+ transporting V1 subunit E2
ENSG00000197457,50861,STMN3,protein_coding,stathmin 3
ENSG00000163485,134,ADORA1,protein_coding,adenosine A1 receptor
ENSG00000266858,NA,RPSAP67,unprocessed_pseudogene,
ENSG00000269403,NA,,protein_coding,
ENSG00000111817,29940,DSE,protein_coding,dermatan sulfate epimerase
ENSG00000228255,NA,,lincRNA,
ENSG00000146063,90933,TRIM41,protein_coding,tripartite motif containing 41
ENSG00000229766,NA,,antisense,
ENSG00000233826,NA,,processed_transcript,
ENSG00000263310,27164,SALL3,protein_coding,spalt like transcription factor 3
ENSG00000185658,54014,BRWD1,protein_coding,bromodomain and WD repeat domain containing 1
ENSG00000282814,NA,,processed_transcript,
ENSG00000160345,138162,C9orf116,protein_coding,chromosome 9 open reading frame 116
ENSG00000104497,64089,SNX16,protein_coding,sorting nexin 16
ENSG00000226230,NA,,processed_pseudogene,
ENSG00000268889,NA,,lincRNA,
ENSG00000218426,NA,,processed_pseudogene,
ENSG00000178115,728047,GOLGA8Q,protein_coding,golgin A8 family member O
ENSG00000230504,NA,HCG4P8,unprocessed_pseudogene,
ENSG00000233691,NA,,processed_pseudogene,
ENSG00000225371,NA,CICP8,processed_pseudogene,
ENSG00000237900,221527,ZBTB12,protein_coding,zinc finger and BTB domain containing 12
ENSG00000235236,NA,,antisense,
ENSG00000258464,NA,,processed_transcript,
ENSG00000007264,4145,MATK,protein_coding,megakaryocyte-associated tyrosine kinase
ENSG00000260070,NA,,antisense,
ENSG00000261441,NA,,antisense,
ENSG00000184523,NA,PTGER4P2,processed_pseudogene,
ENSG00000181927,81300,OR4P4,protein_coding,olfactory receptor family 4 subfamily P member 4
ENSG00000242595,NA,,processed_pseudogene,
ENSG00000141556,6904,TBCD,protein_coding,tubulin folding cofactor D
ENSG00000146476,79624,ARMT1,protein_coding,acidic residue methyltransferase 1
ENSG00000225871,NA,,processed_pseudogene,
ENSG00000240616,NA,RPS6P25,processed_pseudogene,
ENSG00000259208,NA,,processed_pseudogene,
ENSG00000087266,6452,SH3BP2,protein_coding,SH3 domain binding protein 2
ENSG00000233656,NA,,lincRNA,
ENSG00000121743,2700,GJA3,protein_coding,gap junction protein alpha 3
ENSG00000070031,6343,SCT,protein_coding,secretin
ENSG00000249434,NA,TRIM26BP,unprocessed_pseudogene,
ENSG00000196990,642968,FAM163B,protein_coding,family with sequence similarity 163 member B
ENSG00000166961,219995,MS4A15,protein_coding,membrane spanning 4-domains A15
ENSG00000255067,NA,,sense_intronic,
ENSG00000254536,NA,,protein_coding,
ENSG00000203618,2812,GP1BB,protein_coding,glycoprotein Ib platelet beta subunit
ENSG00000254043,NA,,lincRNA,
ENSG00000182511,2242,FES,protein_coding,FES proto-oncogene, tyrosine kinase
ENSG00000082212,4200,ME2,protein_coding,malic enzyme 2
ENSG00000226706,101928525,,antisense,uncharacterized LOC101928525
ENSG00000249438,NA,KRT18P45,processed_pseudogene,
ENSG00000162105,22941,SHANK2,protein_coding,SH3 and multiple ankyrin repeat domains 2
ENSG00000223776,100287902,LGALS8-AS1,antisense,LGALS8 antisense RNA 1
ENSG00000260583,NA,,antisense,
ENSG00000227442,NA,HLA-DRB2,unprocessed_pseudogene,
ENSG00000267372,NA,,lincRNA,
ENSG00000282728,NA,,processed_transcript,
ENSG00000231495,NA,,lincRNA,
ENSG00000089818,25977,NECAP1,protein_coding,NECAP endocytosis associated 1
ENSG00000261147,NA,,protein_coding,
ENSG00000258128,NA,MKRN9P,transcribed_processed_pseudogene,
ENSG00000222018,101928147,C21orf140,protein_coding,chromosome 21 open reading frame 140
ENSG00000222018,101928147,C21orf140,protein_coding,uncharacterized protein C21orf140
ENSG00000222018,102723451,C21orf140,protein_coding,chromosome 21 open reading frame 140
ENSG00000222018,102723451,C21orf140,protein_coding,uncharacterized protein C21orf140
ENSG00000086504,10573,MRPL28,protein_coding,mitochondrial ribosomal protein L28
ENSG00000178127,4729,NDUFV2,protein_coding,NADH:ubiquinone oxidoreductase core subunit V2
ENSG00000215187,730112,FAM166B,protein_coding,family with sequence similarity 166 member B
ENSG00000197181,55124,PIWIL2,protein_coding,piwi like RNA-mediated gene silencing 2
ENSG00000132589,2319,FLOT2,protein_coding,flotillin 2
ENSG00000260423,101930452,,lincRNA,uncharacterized LOC101930452
ENSG00000282543,NA,TRBV4-3,TR_V_gene,
ENSG00000282909,NA,,transcribed_unprocessed_pseudogene,
ENSG00000227400,NA,,sense_overlapping,
ENSG00000204928,643226,GRXCR2,protein_coding,glutaredoxin and cysteine rich domain containing 2
ENSG00000248515,NA,,lincRNA,
ENSG00000099617,1943,EFNA2,protein_coding,ephrin A2
ENSG00000277318,NA,IGHV2-5,IG_V_gene,
ENSG00000281334,NA,SDHAP2,transcribed_unprocessed_pseudogene,
ENSG00000253627,NA,,lincRNA,
ENSG00000231842,NA,,lincRNA,
ENSG00000187079,7003,TEAD1,protein_coding,TEA domain transcription factor 1
ENSG00000254293,NA,,lincRNA,
ENSG00000270149,NA,,protein_coding,
ENSG00000282261,NA,,lincRNA,
ENSG00000102103,10084,PQBP1,protein_coding,polyglutamine binding protein 1
ENSG00000104998,9466,IL27RA,protein_coding,interleukin 27 receptor subunit alpha
ENSG00000224025,NA,,processed_pseudogene,
ENSG00000282428,NA,,lincRNA,
ENSG00000226633,NA,PPIAP28,processed_pseudogene,
ENSG00000111445,5985,RFC5,protein_coding,replication factor C subunit 5
ENSG00000107611,8029,CUBN,protein_coding,cubilin
ENSG00000104825,4793,NFKBIB,protein_coding,NFKB inhibitor beta
ENSG00000110244,337,APOA4,protein_coding,apolipoprotein A4
ENSG00000254239,NA,,lincRNA,
ENSG00000233090,NA,,unprocessed_pseudogene,
ENSG00000260847,NA,,lincRNA,
ENSG00000237211,NA,SETP4,processed_pseudogene,
ENSG00000189046,121642,ALKBH2,protein_coding,alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase
ENSG00000136521,4711,NDUFB5,protein_coding,NADH:ubiquinone oxidoreductase subunit B5
ENSG00000102007,5355,PLP2,protein_coding,proteolipid protein 2
ENSG00000232905,NA,,processed_pseudogene,
ENSG00000142319,6531,SLC6A3,protein_coding,solute carrier family 6 member 3
ENSG00000223757,80737,VWA7,protein_coding,von Willebrand factor A domain containing 7
ENSG00000244490,NA,RWDD4P1,processed_pseudogene,
ENSG00000103591,79719,AAGAB,protein_coding,alpha- and gamma-adaptin binding protein
ENSG00000250839,NA,,unprocessed_pseudogene,
ENSG00000132874,8170,SLC14A2,protein_coding,solute carrier family 14 member 2
ENSG00000272918,NA,,antisense,
ENSG00000282827,84126,,protein_coding,ATR interacting protein
ENSG00000179526,81858,SHARPIN,protein_coding,SHANK associated RH domain interactor
ENSG00000198821,919,CD247,protein_coding,CD247 molecule
ENSG00000145920,10814,CPLX2,protein_coding,complexin 2
ENSG00000230328,NA,,processed_pseudogene,
ENSG00000170425,136,ADORA2B,protein_coding,adenosine A2b receptor
ENSG00000167842,79003,MIS12,protein_coding,MIS12, kinetochore complex component
ENSG00000259370,NA,,antisense,
ENSG00000275970,2204,FCAR,protein_coding,Fc fragment of IgA receptor
ENSG00000176946,51078,THAP4,protein_coding,THAP domain containing 4
ENSG00000278891,NA,,TEC,
ENSG00000115380,2202,EFEMP1,protein_coding,EGF containing fibulin like extracellular matrix protein 1
ENSG00000234965,440829,SHISA8,protein_coding,shisa family member 8
ENSG00000257852,NA,,processed_pseudogene,
ENSG00000094755,2568,GABRP,protein_coding,gamma-aminobutyric acid type A receptor pi subunit
ENSG00000180438,348825,TPRXL,transcribed_processed_pseudogene,tetra-peptide repeat homeobox-like
ENSG00000235074,NA,,unprocessed_pseudogene,
ENSG00000271732,NA,,lincRNA,
ENSG00000279213,NA,SNX18P10,processed_pseudogene,
ENSG00000243417,NA,,processed_pseudogene,
ENSG00000236662,NA,,antisense,
ENSG00000255252,NA,,antisense,
ENSG00000106366,5054,SERPINE1,protein_coding,serpin family E member 1
ENSG00000259029,NA,DUX4L18,unprocessed_pseudogene,
ENSG00000280216,NA,,TEC,
ENSG00000271741,NA,,protein_coding,
ENSG00000275993,102724428,,protein_coding,serine/threonine-protein kinase SIK1
ENSG00000259447,NA,,lincRNA,
ENSG00000282611,NA,CNN2P12,processed_pseudogene,
ENSG00000234922,NA,TSEN15P3,processed_pseudogene,
ENSG00000139914,161247,FITM1,protein_coding,fat storage inducing transmembrane protein 1
ENSG00000277850,3805,KIR2DL4,protein_coding,killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
ENSG00000233553,NA,,antisense,
ENSG00000187867,342979,PALM3,protein_coding,paralemmin 3
ENSG00000169327,390445,OR5AU1,protein_coding,olfactory receptor family 5 subfamily AU member 1
ENSG00000259423,NA,,lincRNA,
ENSG00000164051,79714,CCDC51,protein_coding,coiled-coil domain containing 51
ENSG00000188603,1201,CLN3,protein_coding,ceroid-lipofuscinosis, neuronal 3
ENSG00000255504,NA,,transcribed_processed_pseudogene,
ENSG00000099869,51214,IGF2-AS,antisense,IGF2 antisense RNA
ENSG00000234605,170680,PSORS1C2,protein_coding,psoriasis susceptibility 1 candidate 2
ENSG00000105755,23474,ETHE1,protein_coding,ETHE1, persulfide dioxygenase
ENSG00000237293,NA,,antisense,
ENSG00000277971,NA,,protein_coding,
ENSG00000278608,256691,MAMDC2,protein_coding,MAM domain containing 2
ENSG00000274478,NA,,lincRNA,
ENSG00000281617,348840,,transcribed_unprocessed_pseudogene,ankyrin repeat domain 18D, pseudogene
ENSG00000254558,NA,,unprocessed_pseudogene,
ENSG00000256673,NA,,unprocessed_pseudogene,
ENSG00000227059,647589,ANHX,protein_coding,anomalous homeobox
ENSG00000228869,NA,COX4I1P2,processed_pseudogene,
ENSG00000259515,NA,,antisense,
ENSG00000231094,170679,PSORS1C1,protein_coding,psoriasis susceptibility 1 candidate 1
ENSG00000183018,124976,SPNS2,protein_coding,sphingolipid transporter 2
ENSG00000264785,NA,,antisense,
ENSG00000166426,1381,CRABP1,protein_coding,cellular retinoic acid binding protein 1
ENSG00000134375,10440,TIMM17A,protein_coding,translocase of inner mitochondrial membrane 17 homolog A (yeast)
ENSG00000115363,84141,EVA1A,protein_coding,eva-1 homolog A, regulator of programmed cell death
ENSG00000182768,51335,NGRN,protein_coding,neugrin, neurite outgrowth associated
ENSG00000227129,4758,NEU1,protein_coding,neuraminidase 1 (lysosomal sialidase)
ENSG00000235131,NA,,antisense,
ENSG00000274676,57292,KIR2DL5A,protein_coding,killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A
ENSG00000136478,55852,TEX2,protein_coding,testis expressed 2
ENSG00000228639,102723505,,lincRNA,uncharacterized LOC102723505
ENSG00000138078,9581,PREPL,protein_coding,prolyl endopeptidase-like
ENSG00000213739,NA,,processed_pseudogene,
ENSG00000267148,NA,,unprocessed_pseudogene,
ENSG00000099910,84861,KLHL22,protein_coding,kelch like family member 22
ENSG00000275756,392364,,processed_pseudogene,nuclear pore associated protein 1 pseudogene
ENSG00000234404,NA,,processed_pseudogene,
ENSG00000268798,NA,,lincRNA,
ENSG00000171241,79801,SHCBP1,protein_coding,SHC binding and spindle associated 1
ENSG00000156958,2585,GALK2,protein_coding,galactokinase 2
ENSG00000204628,10399,RACK1,protein_coding,receptor for activated C kinase 1
ENSG00000278137,NA,,processed_pseudogene,
ENSG00000234977,NA,,lincRNA,
ENSG00000259390,NA,,lincRNA,
ENSG00000171560,2243,FGA,protein_coding,fibrinogen alpha chain
ENSG00000240197,NA,,unprocessed_pseudogene,
ENSG00000236081,101927125,ELFN1-AS1,lincRNA,ELFN1 antisense RNA 1
ENSG00000270458,NA,,processed_pseudogene,
ENSG00000237987,105378137,,lincRNA,uncharacterized LOC105378137
ENSG00000226702,NA,MIR217HG,lincRNA,
ENSG00000129680,79649,MAP7D3,protein_coding,MAP7 domain containing 3
ENSG00000276897,NA,,unprocessed_pseudogene,
ENSG00000172375,9854,C2CD2L,protein_coding,C2CD2 like
ENSG00000168481,203190,LGI3,protein_coding,leucine-rich repeat LGI family member 3
ENSG00000264812,NA,,sense_intronic,
ENSG00000229805,NA,,lincRNA,
ENSG00000278635,NA,,unprocessed_pseudogene,
ENSG00000239961,23547,LILRA4,protein_coding,leukocyte immunoglobulin like receptor A4
ENSG00000230393,NA,,antisense,
ENSG00000229775,NA,,lincRNA,
ENSG00000261302,NA,,antisense,
ENSG00000126243,79414,LRFN3,protein_coding,leucine rich repeat and fibronectin type III domain containing 3
ENSG00000225650,NA,EIF2S2P5,processed_pseudogene,
ENSG00000162585,199990,FAAP20,protein_coding,Fanconi anemia core complex associated protein 20
ENSG00000163867,9204,ZMYM6,protein_coding,zinc finger MYM-type containing 6
ENSG00000113119,55374,TMCO6,protein_coding,transmembrane and coiled-coil domains 6
ENSG00000260131,NA,LINC00556,antisense,
ENSG00000233620,102723833,,antisense,uncharacterized LOC102723833
ENSG00000224723,NA,GUSBP10,unprocessed_pseudogene,
ENSG00000274563,NA,KIR2DS5,protein_coding,
ENSG00000240846,NA,RPS15P9,processed_pseudogene,
ENSG00000088205,8886,DDX18,protein_coding,DEAD-box helicase 18
ENSG00000224288,NA,MTCYBP11,processed_pseudogene,
ENSG00000146587,57786,RBAK,protein_coding,RB associated KRAB zinc finger
ENSG00000256339,NA,,antisense,
ENSG00000257752,NA,,processed_pseudogene,
ENSG00000233003,NA,CICP26,unprocessed_pseudogene,
ENSG00000225727,NA,,transcribed_processed_pseudogene,
ENSG00000179331,54734,RAB39A,protein_coding,RAB39A, member RAS oncogene family
ENSG00000240519,NA,,processed_pseudogene,
ENSG00000267113,NA,,processed_pseudogene,
ENSG00000225022,NA,UBE2D3P1,processed_pseudogene,
ENSG00000270898,100302652,GPR75-ASB3,protein_coding,GPR75-ASB3 readthrough
ENSG00000249928,NA,UQCRBP3,processed_pseudogene,
ENSG00000182968,6656,SOX1,protein_coding,SRY-box 1
ENSG00000150593,27250,PDCD4,protein_coding,programmed cell death 4 (neoplastic transformation inhibitor)
ENSG00000150593,27250,PDCD4,protein_coding,microRNA 4680
ENSG00000150593,100616113,PDCD4,protein_coding,programmed cell death 4 (neoplastic transformation inhibitor)
ENSG00000150593,100616113,PDCD4,protein_coding,microRNA 4680
ENSG00000212743,NA,,lincRNA,
ENSG00000225959,NA,MTND4P3,unprocessed_pseudogene,
ENSG00000260575,NA,,antisense,
ENSG00000120925,81790,RNF170,protein_coding,ring finger protein 170
ENSG00000120925,81790,RNF170,protein_coding,microRNA 4469
ENSG00000120925,100616115,RNF170,protein_coding,ring finger protein 170
ENSG00000120925,100616115,RNF170,protein_coding,microRNA 4469
ENSG00000236530,NA,,processed_pseudogene,
ENSG00000273673,NA,RPL9P9,transcribed_processed_pseudogene,
ENSG00000133665,84332,DYDC2,protein_coding,DPY30 domain containing 2
ENSG00000226829,NA,,lincRNA,
ENSG00000215174,286430,NLRP2B,protein_coding,NLR family pyrin domain containing 2B
ENSG00000178814,26873,OPLAH,protein_coding,5-oxoprolinase (ATP-hydrolysing)
ENSG00000262372,NA,,antisense,
ENSG00000186047,220107,DLEU7,protein_coding,deleted in lymphocytic leukemia, 7
ENSG00000274320,440295,GOLGA6L9,protein_coding,golgin A6 family-like 9
ENSG00000249675,NA,,lincRNA,
ENSG00000232169,23,ABCF1,protein_coding,ATP binding cassette subfamily F member 1
ENSG00000273361,NA,,antisense,
ENSG00000228888,101929265,LINC01428,lincRNA,long intergenic non-protein coding RNA 1428
ENSG00000088826,54498,SMOX,protein_coding,spermine oxidase
ENSG00000144283,8502,PKP4,protein_coding,plakophilin 4
ENSG00000280058,NA,,TEC,
ENSG00000136997,4609,MYC,protein_coding,v-myc avian myelocytomatosis viral oncogene homolog
ENSG00000229031,NA,MTCO1P25,unprocessed_pseudogene,
ENSG00000244076,NA,,processed_pseudogene,
ENSG00000230042,NA,AK3P3,processed_pseudogene,
ENSG00000251026,NA,,lincRNA,
ENSG00000177485,10009,ZBTB33,protein_coding,zinc finger and BTB domain containing 33
ENSG00000166165,1152,CKB,protein_coding,creatine kinase B
ENSG00000229455,NA,RPS10P18,processed_pseudogene,
ENSG00000243224,101929054,,antisense,uncharacterized LOC101929054
ENSG00000229822,NA,,processed_pseudogene,
ENSG00000269067,388523,ZNF728,protein_coding,zinc finger protein 728
ENSG00000261353,NA,,lincRNA,
ENSG00000274376,NA,ADAMTS7P1,transcribed_unprocessed_pseudogene,
ENSG00000236106,NA,,lincRNA,
ENSG00000259603,NA,,antisense,
ENSG00000262860,26065,LSM14A,protein_coding,LSM14A mRNA processing body assembly factor
ENSG00000224370,NA,,processed_pseudogene,
ENSG00000263105,NA,,lincRNA,
ENSG00000007216,9058,SLC13A2,protein_coding,solute carrier family 13 member 2
ENSG00000081665,440515,ZNF506,protein_coding,zinc finger protein 506
ENSG00000248803,NA,,processed_pseudogene,
ENSG00000197990,NA,ZNF734P,unprocessed_pseudogene,
ENSG00000231041,NA,LINC01556,protein_coding,
ENSG00000254759,NA,NAP1L1P1,processed_pseudogene,
ENSG00000234386,NA,OR7E162P,unprocessed_pseudogene,
ENSG00000217241,NA,CBX3P9,processed_pseudogene,
ENSG00000227645,NA,RPL7P54,processed_pseudogene,
ENSG00000279234,NA,,TEC,
ENSG00000281952,NA,TRBV8-1,TR_V_pseudogene,
ENSG00000231207,NA,,processed_pseudogene,
ENSG00000270562,NA,,lincRNA,
ENSG00000213179,NA,RPL17P41,processed_pseudogene,
ENSG00000270108,NA,,sense_intronic,
ENSG00000258034,NA,,antisense,
ENSG00000278855,55539,KCNQ1DN,antisense,KCNQ1 downstream neighbor (non-protein coding)
ENSG00000277539,NA,,sense_intronic,
ENSG00000255014,NA,ARL6IP1P3,processed_pseudogene,
ENSG00000181214,NA,,unprocessed_pseudogene,
ENSG00000144677,10217,CTDSPL,protein_coding,CTD small phosphatase like
ENSG00000151364,65987,KCTD14,protein_coding,potassium channel tetramerization domain containing 14
ENSG00000215456,NA,BCRP4,unprocessed_pseudogene,
ENSG00000269662,NA,BNIP3P39,processed_pseudogene,
ENSG00000003400,843,CASP10,protein_coding,caspase 10
ENSG00000176290,NA,OR4K3,unprocessed_pseudogene,
ENSG00000164961,9897,KIAA0196,protein_coding,KIAA0196
ENSG00000215515,NA,IFIT1P1,processed_pseudogene,
ENSG00000249240,NA,,protein_coding,
ENSG00000220614,NA,,processed_pseudogene,
ENSG00000248871,407977,TNFSF12-TNFSF13,protein_coding,TNFSF12-TNFSF13 readthrough
ENSG00000240775,NA,,processed_pseudogene,
ENSG00000256683,59348,ZNF350,protein_coding,zinc finger protein 350
ENSG00000232915,NA,,processed_pseudogene,
ENSG00000267924,NA,,lincRNA,
ENSG00000165762,390431,OR4K2,protein_coding,olfactory receptor family 4 subfamily K member 2
ENSG00000228930,NA,MTCO1P3,processed_pseudogene,
ENSG00000205108,259308,FAM205A,protein_coding,family with sequence similarity 205 member A
ENSG00000254753,NA,,lincRNA,
ENSG00000233462,NA,RPL7AP7,processed_pseudogene,
ENSG00000211680,NA,IGLJ4,IG_J_gene,
ENSG00000254747,NA,MTND4LP18,processed_pseudogene,
ENSG00000160961,84449,ZNF333,protein_coding,zinc finger protein 333
ENSG00000243711,NA,RPL21P116,processed_pseudogene,
ENSG00000178935,79818,ZNF552,protein_coding,zinc finger protein 552
ENSG00000100629,145508,CEP128,protein_coding,centrosomal protein 128
ENSG00000125962,64860,ARMCX5,protein_coding,armadillo repeat containing, X-linked 5
ENSG00000147571,1392,CRH,protein_coding,corticotropin releasing hormone
ENSG00000219665,101928464,,processed_transcript,uncharacterized LOC101928464
ENSG00000273884,11026,LILRA3,protein_coding,leukocyte immunoglobulin like receptor A3
ENSG00000236203,NA,MCCD1P2,unprocessed_pseudogene,
ENSG00000133740,1875,E2F5,protein_coding,E2F transcription factor 5
ENSG00000108465,80279,CDK5RAP3,protein_coding,CDK5 regulatory subunit associated protein 3
ENSG00000109113,83871,RAB34,protein_coding,RAB34, member RAS oncogene family
ENSG00000109113,83871,RAB34,protein_coding,nine-amino acid residue-repeats
ENSG00000109113,100861437,RAB34,protein_coding,RAB34, member RAS oncogene family
ENSG00000109113,100861437,RAB34,protein_coding,nine-amino acid residue-repeats
ENSG00000278603,NA,,unprocessed_pseudogene,
ENSG00000077150,4791,NFKB2,protein_coding,nuclear factor kappa B subunit 2
ENSG00000216753,NA,HMGA1P7,processed_pseudogene,
ENSG00000167536,147015,DHRS13,protein_coding,dehydrogenase/reductase 13
ENSG00000225540,NA,C4A-AS1,processed_transcript,
ENSG00000100580,283578,TMED8,protein_coding,transmembrane p24 trafficking protein family member 8
